Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Reliance Industries,RELIANCE.NS,"1,375.00",-0.48%,"1,376.90","76,00,682","18,69,781.70",25.1,9.7,"1,551.00","1,114.85",-1.74%,-7.33%,0.18%,27.12%,32.81%,2.21,0.40%,8.54%,8.71%,101.61,"1,385.43","1,345.51",46.75,78.00%,91.00%
HDFC Bank,HDFCBANK.NS,977,-0.40%,974.3,"1,86,34,254","15,06,696.50",21.29,16.18,"1,018.85",812.15,1.03%,-1.46%,15.75%,40.21%,63.04%,2.88,1.12%,13.93%,6.38%,89.49,973.98,932.82,56.16,78.00%,91.00%
Bharti Airtel,BHARTIARTL.NS,"1,954.90",0.77%,"1,937.90","36,72,419","11,06,151.40",38.4,32.08,"2,045.80","1,511.00",2.65%,1.77%,15.29%,154.25%,379.55%,9.88,0.79%,8.11%,18.01%,21.42,"1,909.28","1,804.34",60.37,78.00%,91.00%
Tata Consultancy Services,TCS.NS,"3,007.20",-0.70%,"3,027.00","28,66,865","10,95,665.40",21.63,30.79,"4,494.90","2,866.60",-3.36%,-6.69%,-27.30%,-3.10%,6.39%,10.29,4.19%,50.48%,62.02%,131.54,"3,051.61","3,480.51",47.45,78.00%,91.00%
ICICI Bank,ICICIBANK.NS,"1,379.40",-0.07%,"1,373.10","89,23,018","9,85,972.60",18.63,16.18,"1,500.00","1,186.00",-2.82%,-3.06%,11.99%,61.60%,248.11%,3.18,0.80%,16.67%,6.13%,64.38,"1,408.69","1,364.07",45.65,78.00%,91.00%
State Bank of India,SBIN.NS,882.95,0.26%,879,"1,19,23,143","8,12,894.30",10.26,10.25,883.75,680,7.06%,9.16%,9.66%,69.33%,351.18%,1.57,1.74%,15.83%,5.57%,81.94,832.21,791.1,66.65,78.00%,91.00%
Bajaj Finance,BAJFINANCE.NS,"1,036.75",1.26%,"1,023.85","76,84,523","6,37,088.80",37.04,52.5,"1,036.00",645.1,2.66%,12.83%,43.82%,44.97%,216.80%,6.68,0.54%,18.84%,10.98%,241.14,943.77,882.7,68.49,76.00%,89.57%
Infosys,INFY.NS,"1,493.20",-1.43%,"1,497.00","58,59,355","6,29,348.90",22.75,30.79,"2,006.45","1,307.00",-1.01%,-4.91%,-23.77%,5.16%,28.97%,7.09,2.88%,29.67%,35.85%,64.2,"1,479.82","1,619.94",51.47,78.00%,90.27%
Hindustan Unilever,HINDUNILVR.NS,"2,492.80",-1.43%,"2,519.20","11,14,750","5,94,188.10",55.07,52.2,"2,804.70","2,136.00",-3.42%,-0.95%,-10.62%,-2.87%,16.58%,11.85,2.13%,19.99%,23.38%,43.99,"2,572.18","2,398.24",39.76,78.00%,91.00%
LIC of India,LICI.NS,897.25,-0.06%,892.1,"5,38,867","5,67,858.30",11.65,52.5,"1,007.80",715.3,1.53%,-2.09%,-6.49%,46.71%,2.51%,4.46,1.34%,49.36%,0.87%,66.13,889.18,860.13,52.08,76.00%,80.00%
Larsen & Toubro,LT.NS,"3,769.50",-0.38%,"3,780.00","11,91,248","5,20,510.40",33.45,23.28,"3,963.50","2,965.30",5.11%,7.83%,6.03%,100.92%,320.49%,5.31,0.90%,15.18%,18.71%,96.6,"3,640.59","3,503.19",63.62,76.00%,90.76%
Maruti Suzuki,MARUTI.NS,"16,323.00",0.36%,"16,264.00","3,37,617","5,11,375.80",35.3,45.78,"16,435.00","10,725.00",6.93%,30.44%,30.19%,88.72%,132.09%,5.33,0.83%,15.75%,19.54%,467.71,"14,770.36","12,823.06",69.84,78.00%,91.00%
