Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Indian Bank,INDIANB.NS,783.5,0.93%,776.25,"16,36,687","1,04,558.10",9.2,10.25,779.7,473.9,12.48%,23.37%,49.15%,299.03%,1252.03%,1.64,2.07%,13.49%,5.89%,67.86,689.73,597.69,76.4,75.78%,80.00%
Jindal Steel,JINDALSTEL.NS,"1,007.60",-0.75%,"1,015.20","16,42,367","1,03,559.30",26.93,28.24,"1,087.60",723.35,-3.70%,7.99%,1.45%,131.71%,425.34%,2.18,0.20%,13.28%,8.16%,54.82,"1,016.36",935.17,43.35,76.00%,80.00%
Mankind Pharma,MANKIND.NS,"2,442.50",-0.71%,"2,466.80","2,09,314","1,01,534.50",53.31,41.06,"3,054.80","2,115.10",-5.53%,-9.42%,-11.49%,71.73%,71.73%,7.03,-,20.28%,13.33%,48.99,"2,528.24","2,493.69",39.47,75.00%,80.00%
IDBI Bank,IDBI.NS,93.23,-0.25%,93.62,"44,15,414","1,00,492.00",12.66,16.18,106.32,65.89,-0.26%,-7.01%,13.17%,118.59%,173.40%,1.96,2.25%,11.35%,5.31%,5.85,91.3,85.81,54.62,60.00%,75.00%
Zydus Life Science,ZYDUSLIFE.NS,995.5,0.21%,990,"7,27,760","99,964.30",21.45,41.06,"1,071.75",795,-3.99%,2.79%,-6.29%,140.02%,131.46%,4.17,1.11%,17.34%,21.99%,41.43,996.9,949.83,46.84,76.00%,80.00%
REC,RECLTD.NS,371.1,-0.50%,372.9,"28,62,235","98,206.10",5.79,18.49,573.3,348.6,-1.94%,-6.96%,-31.32%,303.59%,434.34%,1.26,4.85%,20.40%,9.48%,55.59,376.89,410.52,43.84,72.32%,80.00%
Vodafone Idea,IDEA.NS,8.73,-3.43%,9.02,"1,11,09,72,263","97,942.10",-,32.08,10.47,6.12,7.25%,13.23%,-3.96%,1.51%,2.11%,-1.35,-,29.99%,-1.99%,-,7.47,7.59,57.93,65.99%,60.00%
BSE,BSE.NS,"2,476.00",3.82%,"2,375.00","87,70,554","97,140.80",63.49,33.36,"3,030.00","1,227.32",11.16%,0.62%,54.45%,1156.53%,4161.62%,22.76,0.31%,22.34%,30.53%,44.38,"2,274.54","2,148.84",69.74,65.00%,77.17%
Hindustan Petroleum,HINDPETRO.NS,451.35,-0.25%,454.5,"59,14,037","96,284.00",9.4,9.7,465.2,287.55,12.88%,4.99%,11.21%,226.52%,297.32%,1.88,2.33%,34.13%,12.56%,46.45,409.78,388.4,68.02,74.69%,80.00%
Waaree Energies,WAAREEENER.NS,"3,404.60",2.14%,"3,339.90","18,84,188","95,763.00",44.14,45.92,"3,865.00","1,863.00",-4.93%,6.49%,45.56%,45.56%,45.56%,10.34,-,-,24.78%,-,"3,286.25","2,788.69",52.39,50.00%,75.00%
JSW Energy,JSWENERGY.NS,544.45,-0.28%,543,"13,73,686","95,428.20",43.79,29.39,776.9,418.75,2.34%,2.63%,-22.58%,70.03%,828.30%,3.48,0.37%,8.21%,5.73%,11.18,526.85,519.6,57.31,72.61%,80.00%
Havells,HAVELLS.NS,"1,473.10",-1.52%,"1,495.50","7,20,965","93,823.80",65.39,45.92,"1,970.00","1,381.30",-7.65%,-3.49%,-24.08%,19.67%,109.83%,11.09,0.68%,17.06%,22.51%,22.2,"1,534.60","1,548.21",33.2,78.00%,80.00%
Indus Towers,INDUSTOWER.NS,349.9,-1.07%,354,"50,17,414","93,311.80",9.68,22.96,430,312.55,-2.62%,-13.41%,-9.56%,85.62%,92.41%,2.9,-,22.32%,28.12%,24.54,346.8,364.22,47.14,75.51%,80.00%
