Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
LIC of India,LICI.NS,897.25,-0.06%,892.1,"5,38,867","5,67,858.30",11.65,52.5,"1,007.80",715.3,1.53%,-2.09%,-6.49%,46.71%,2.51%,4.46,1.34%,49.36%,0.87%,66.13,889.18,860.13,52.08,76.00%,80.00%
Hindustan Aeronautics,HAL.NS,"4,745.40",-1.81%,"4,810.00","10,46,492","3,23,212.30",38.21,34.8,"5,165.00","3,046.05",-1.04%,-2.88%,5.28%,302.08%,1156.13%,9.07,0.84%,26.15%,17.49%,113.89,"4,612.16","4,368.67",50.36,74.66%,80.00%
Adani Power,ADANIPOWER.NS,154.43,3.16%,148,"6,49,33,221","2,88,691.90",23.97,29.39,182.7,86.4,19.87%,26.68%,21.70%,122.62%,2033.01%,5.9,-,48.28%,20.42%,41.44,130.44,113.14,61.84,60.00%,75.00%
Avenue Supermarts DMart,DMART.NS,"4,202.60",-2.73%,"4,275.00","9,59,344","2,81,142.70",100.08,31.89,"4,949.50","3,340.00",-9.64%,4.77%,0.45%,-2.49%,112.53%,12.76,-,13.56%,16.93%,40.74,"4,526.28","4,085.89",27.1,76.00%,80.00%
Indian Oil Corporation,IOC.NS,155.26,0.75%,153.71,"1,13,75,913","2,17,622.40",14.39,9.7,171.65,110.72,7.83%,3.44%,-6.17%,132.25%,206.05%,1.17,1.88%,22.94%,9.53%,21.83,144.4,137.69,69.82,76.00%,80.00%
Hindustan Zinc,HINDZINC.NS,505.55,1.45%,498.3,"77,96,400","2,10,547.60",20.73,24.93,575.4,378.15,9.87%,15.86%,-2.82%,74.84%,145.29%,16.02,5.74%,51.06%,62.89%,19.26,447.83,444.41,66.76,58.00%,80.00%
Hyundai Motor India,HYUNDAI.NS,"2,383.90",-0.89%,"2,400.00","10,22,665","1,95,432.40",35.1,45.78,"2,890.00","1,541.70",-6.50%,10.94%,31.01%,31.01%,31.01%,11.89,0.88%,-,40.99%,-,"2,461.08","1,989.31",36.53,65.00%,75.00%
Vedanta,VEDL.NS,479.3,-0.60%,479.5,"83,12,537","1,88,558.90",14.21,24.93,526.95,363,5.48%,6.94%,-3.98%,63.58%,380.98%,4.55,9.07%,17.92%,28.36%,13.95,447.11,440.47,63.88,75.86%,80.00%
DLF,DLF.NS,741.2,0.14%,738.4,"13,76,145","1,83,222.80",43.37,29.97,896.6,601.2,-4.45%,-10.36%,-14.10%,104.44%,377.89%,4.31,0.81%,4.13%,5.62%,11.5,755.43,749.82,48.02,76.00%,80.00%
Adani Green Energy,ADANIGREEN.NS,"1,051.30",-1.22%,"1,054.30","15,72,244","1,72,692.90",87.54,29.39,"1,804.35",758,6.55%,2.48%,-40.78%,-49.54%,49.10%,12.11,-,7.22%,8.15%,8.71,988.69,970.4,54.56,68.03%,75.00%
Divis Laboratories,DIVISLAB.NS,"6,556.00",1.26%,"6,465.50","9,05,107","1,71,877.60",75.45,38,"7,071.50","4,955.00",8.24%,-3.28%,5.49%,86.05%,108.85%,11.62,0.46%,11.79%,18.85%,63.06,"6,087.73","6,118.23",70.79,76.00%,80.00%
TVS Motors,TVSMOTOR.NS,"3,503.20",0.37%,"3,475.10","6,10,644","1,65,819.70",70.24,75.03,"3,602.70","2,171.40",0.74%,25.02%,23.77%,225.09%,662.64%,19.57,0.29%,23.68%,22.61%,36.05,"3,324.24","2,769.99",61.21,76.00%,80.00%
IRFC,IRFC.NS,125.5,-0.79%,125.05,"60,65,989","1,65,316.60",24.59,18.49,166.9,108.04,-2.09%,-6.42%,-17.08%,486.45%,406.05%,3.01,1.28%,13.04%,5.81%,4.93,125.43,131.59,49.24,72.21%,80.00%
LTI Mindtree,LTIM.NS,"5,498.00",0.48%,"5,450.00","1,84,814","1,62,184.40",34.52,30.79,"6,767.95","3,802.00",2.93%,6.59%,-14.74%,19.60%,69.18%,7.18,1.18%,22.89%,26.33%,154.11,"5,213.26","5,171.92",64.82,76.00%,80.00%
Pidilite Industries,PIDILITIND.NS,"1,513.50",0.19%,"1,497.70","4,36,390","1,53,735.90",69.94,38.95,"1,652.20","1,311.10",-1.53%,2.11%,-3.34%,15.46%,104.11%,15.78,0.66%,20.28%,26.80%,36.93,"1,520.38","1,477.14",52.45,78.00%,80.00%
Varun Beverages,VBL.NS,442.45,-0.27%,441.75,"18,99,577","1,50,040.70",52.58,36.9,663.6,419.55,-6.19%,-4.07%,-25.22%,107.18%,619.08%,8.15,0.23%,29.67%,20.86%,18.65,480.67,507.24,37.69,75.00%,80.00%
Bharat Petroleum,BPCL.NS,337.95,-0.22%,340.5,"67,85,828","1,46,945.20",8.35,9.7,358.65,234.01,6.36%,-1.87%,-0.82%,125.07%,99.32%,1.8,2.91%,35.51%,17.05%,44.92,323.42,302.33,57.86,76.00%,80.00%
Britannia Industries,BRITANNIA.NS,"5,862.00",-0.16%,"5,871.50","2,38,217","1,41,425.80",64.43,52,"6,336.00","4,506.00",-5.63%,1.45%,-1.94%,54.89%,56.50%,32.45,1.28%,53.81%,58.72%,91.68,"5,836.94","5,384.31",43.8,78.00%,80.00%
Ambuja Cements,AMBUJACEM.NS,566.75,-0.44%,565.2,"11,34,328","1,40,708.60",32.62,43.77,624.95,453.05,-0.35%,-3.97%,-3.76%,14.07%,134.44%,2.62,0.35%,9.32%,9.15%,12.66,577.63,550.14,44.23,76.00%,80.00%
Bank of Baroda,BANKBARODA.NS,268.1,0.43%,266.4,"54,43,095","1,38,049.50",7.13,10.25,272.05,190.7,12.15%,11.28%,9.63%,106.23%,549.15%,0.9,3.12%,15.25%,5.69%,36.82,245.66,234.7,71.92,76.00%,80.00%
Cholamandalam Investment,CHOLAFIN.NS,"1,647.20",2.04%,"1,614.00","13,92,973","1,35,818.60",31.16,52.5,"1,684.40","1,168.00",8.53%,7.77%,8.88%,127.31%,578.84%,5.86,0.12%,17.41%,9.61%,43.53,"1,527.26","1,478.90",61.81,75.93%,80.00%
Punjab National Bank,PNB.NS,116.95,-0.25%,116.87,"1,18,09,783","1,34,743.30",8.09,10.25,117.85,85.46,7.78%,5.63%,11.37%,225.77%,319.93%,1.04,2.48%,8.25%,5.75%,10.66,107.94,102.44,66.91,76.00%,80.00%
Bajaj Holdings & Investments,BAJAJHLDNG.NS,"12,354.00",2.32%,"11,911.00","44,409","1,34,375.80",19.78,52.5,"14,763.00","10,004.85",-6.39%,-12.68%,15.78%,85.72%,414.69%,2.2,0.75%,11.70%,8.98%,670.52,"13,126.30","12,601.40",43.71,68.52%,80.00%
Power Finance Corporation,PFC.NS,403.1,-0.19%,402,"26,04,983","1,33,274.60",5.47,18.49,523.9,357.25,0.31%,-5.20%,-14.89%,394.24%,496.30%,1.13,3.92%,19.70%,9.24%,62.81,403.58,409.81,48.49,72.83%,80.00%
Solar Industries,SOLARINDS.NS,"14,000.00",-0.78%,"14,054.00","1,45,807","1,27,681.50",100.4,38.95,"17,820.00","8,482.50",-3.34%,-7.97%,23.91%,265.80%,1219.26%,28.88,0.07%,25.54%,30.18%,102.22,"14,289.08","12,891.60",47.39,74.84%,80.00%
Tata Power,TATAPOWER.NS,391.15,0.27%,388,"48,61,965","1,24,650.20",30.25,29.39,474.4,326.35,0.81%,-2.83%,-15.39%,80.96%,623.68%,3.49,0.58%,11.17%,9.90%,11.48,387.51,382.1,51.84,76.00%,80.00%
Torrent Pharmaceuticals,TORNTPHARM.NS,"3,518.20",-0.41%,"3,515.00","90,713","1,19,566.00",58.99,34.07,"3,787.90","2,886.45",-0.38%,3.33%,0.81%,121.38%,150.07%,15.69,0.17%,24.16%,28.48%,49.44,"3,595.90","3,333.85",42.94,78.00%,80.00%
CG Power & Industrial Solutions,CGPOWER.NS,747.05,-0.84%,745.9,"16,97,894","1,18,636.50",117.24,45.92,866.15,517.7,-5.60%,10.71%,-12.66%,191.08%,3078.94%,17.18,0.17%,28.86%,31.58%,5.88,722.94,666.6,50.23,74.12%,80.00%
