Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Cholamandalam Financial Holdings,CHOLAHLDNG.NS,"1,837.80",0.02%,"1,839.00","87,640","34,502.20",15.66,52.5,"2,231.60","1,357.35",-2.83%,-10.34%,-4.25%,192.48%,357.16%,2.76,0.07%,17.35%,9.82%,103.82,"1,852.76","1,776.10",45.7,66.43%,80.00%
KPR Mill,KPRMILL.NS,991.3,-1.29%,"1,004.30","2,62,780","34,328.40",41.12,34.99,"1,389.00",755.5,-5.32%,-16.58%,6.02%,74.25%,639.83%,6.78,0.50%,18.48%,21.45%,23.57,"1,032.92","1,028.25",36.51,60.00%,75.00%
CRISIL,CRISIL.NS,"4,574.00",-2.35%,"4,677.70","29,387","34,255.60",45.97,33.36,"6,950.00","3,973.60",-8.77%,-23.68%,-3.24%,47.82%,164.77%,11.88,1.22%,30.08%,32.65%,88.88,"4,999.68","5,128.29",37.41,68.94%,80.00%
Exide Industries,EXIDEIND.NS,398.5,-0.54%,397.05,"10,45,893","34,055.20",39.93,47,534.4,328,-4.13%,3.95%,-24.86%,156.85%,148.05%,2.43,0.50%,6.84%,8.57%,10.29,399.29,383.23,47.17,76.00%,80.00%
IPCA Laboratories,IPCALAB.NS,"1,323.50",-0.82%,"1,338.30","59,274","33,856.80",37.52,41.06,"1,755.90","1,168.20",1.01%,-9.15%,-21.32%,48.95%,24.59%,4.83,0.30%,6.85%,12.97%,23.14,"1,364.18","1,426.30",44.81,70.25%,80.00%
Tata Elxsi,TATAELXSI.NS,"5,352.00",-1.03%,"5,369.50","2,32,299","33,684.70",49.72,36.46,"7,749.00","4,700.00",-5.86%,-13.38%,-29.33%,-35.62%,267.03%,12.34,1.40%,36.00%,52.73%,126.48,"5,585.80","5,914.86",42.16,76.00%,80.00%
Apar Industries,APARINDS.NS,"8,509.00",1.48%,"8,365.00","37,305","33,681.10",38.76,45.92,"11,779.90","4,308.05",-0.78%,-2.60%,-18.97%,509.18%,2860.17%,7.59,0.60%,21.29%,30.72%,206.69,"8,433.89","7,773.54",51.83,62.23%,80.00%
CDSL,CDSL.NS,"1,619.40",0.88%,"1,601.00","33,64,466","33,550.80",68.42,33.36,"1,989.80","1,047.45",4.24%,-3.46%,2.54%,165.46%,577.35%,19.23,0.77%,27.84%,37.66%,45.91,"1,536.03","1,474.64",63.81,72.64%,80.00%
Go Digit General Insurance,GODIGIT.NS,359.4,-0.96%,357,"2,64,129","33,507.00",71.88,52.5,381.4,264.6,1.11%,2.06%,-3.61%,17.45%,17.45%,7.75,-,5.31%,-3.88%,2.45,356.73,325.01,55.33,60.00%,70.00%
3M India,3MINDIA.NS,"28,930.00",-2.23%,"29,495.00","4,194","33,333.30",53.42,23,"37,133.75","25,718.15",-5.38%,-2.56%,-14.97%,23.72%,51.14%,15.21,1.85%,27.17%,35.84%,542.46,"30,316.90","29,426.15",39.21,72.24%,80.00%
Hindustan Copper,HINDCOPPER.NS,340.8,-1.09%,344,"98,49,453","33,318.80",67.74,24.93,365.5,183.82,21.50%,29.34%,4.78%,212.37%,956.74%,12.38,0.43%,14.18%,21.26%,3.74,272.22,246.15,64.91,70.91%,80.00%
Metro Brands,METROBRAND.NS,"1,219.50",-0.07%,"1,221.00","16,236","33,228.10",92.96,35.36,"1,346.50",990.05,-2.82%,3.21%,1.22%,36.70%,147.19%,19.44,1.64%,23.08%,21.27%,15.13,"1,209.29","1,175.08",45.51,70.00%,80.00%
ITI,ITI.NS,340.45,-0.01%,339,"26,03,750","32,718.20",-,63.55,592.7,210,5.55%,6.62%,37.92%,226.88%,168.07%,20.12,-,-,-14.94%,-,307.94,306.15,62.36,50.00%,-
Honeywell Automation,HONAUT.NS,"36,155.00",-0.88%,"36,355.00","2,520","32,249.50",62.52,73.96,"51,999.00","31,025.00",-1.79%,-10.85%,-27.75%,-5.71%,18.57%,7.92,0.29%,13.90%,17.18%,604.64,"36,951.40","37,347.23",45,72.09%,80.00%
The New India Assurance Company,NIACL.NS,191.06,-0.94%,191.7,"3,68,953","31,785.00",26.28,52.5,221.8,135.6,-1.07%,4.20%,-11.56%,124.12%,87.04%,1.38,0.94%,4.09%,-4.80%,6.65,192.64,180.03,47.98,63.68%,80.00%
Gland Pharma,GLAND.NS,"1,928.60",0.27%,"1,924.00","37,208","31,689.30",41.26,34.07,"2,131.00","1,277.80",-4.39%,2.06%,14.72%,-10.29%,5.99%,3.47,0.93%,8.85%,11.44%,43.83,"1,953.57","1,715.35",43.37,69.35%,80.00%
KPIT Technologies,KPITTECH.NS,"1,155.00",0.08%,"1,145.00","4,15,973","31,638.90",39.22,36.46,"1,822.90","1,020.60",-7.73%,-8.85%,-35.54%,73.32%,868.15%,10.87,0.73%,27.67%,35.48%,24.17,"1,213.82","1,285.93",40.12,73.78%,80.00%
LIC Housing Finance,LICHSGFIN.NS,572.35,0.69%,565,"12,43,809","31,268.30",5.72,26.76,657.6,483.7,0.10%,-5.69%,-7.35%,41.58%,98.56%,0.87,1.75%,15.12%,9.65%,86.33,570.22,578.73,50.82,76.00%,80.00%
