Symbol,Grade,Wyckoff_Phase,Score,Current_Price,Signal_Price,Price_Change_%,Price_Date,Entry_Low,Entry_High,Stop_Loss,Risk_%,Target_1,Target_1_Gain_%,Target_2,Target_2_Gain_%,VWAP,VWAP_Deviation_%,POC,Value_Area_Low,Value_Area_High,In_Value_Area,Volume_Ratio,Above_MA20,Above_MA50,MA_Aligned,Market_Trend,Market_Strength,Buy_Reason_1,Buy_Reason_2,Buy_Reason_3
JSWSTEEL.NS,A,N/A,100,1183.9,1171.7,1.04,2025-11-13,1172.21,1195.59,1148.84,2.96,1254.01,5.92,1289.07,8.88,1178.42,0.47,1072.7,1054.56,1211.8,True,1.28,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.0%),At VWAP (perfect entry)
ADANIGREEN.NS,A,N/A,90,1076.8,1059.8,1.6,2025-11-13,1054.81,1098.79,1010.84,6.13,1208.71,12.25,1274.67,18.38,1088.08,-1.04,1153.34,1026.88,1156.03,True,0.73,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.6%),Near VWAP (good entry)
UBL.NS,A,N/A,85,1810.3,1784.6,1.44,2025-11-13,1795.95,1824.65,1767.26,2.38,1896.38,4.75,1939.42,7.13,1798.69,0.65,1794.83,1777.32,1843.48,True,0.61,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.4%),At VWAP (perfect entry)
PATANJALI.NS,A,N/A,83,590.45,577.18,2.3,2025-11-13,584.26,596.64,571.89,3.14,627.58,6.29,646.14,9.43,585.5,0.85,576.82,573.33,604.21,True,1.66,True,False,False,BULLISH,70,Grade A (good quality),Moderate gain (+2.3%),At VWAP (perfect entry)
PNB.NS,A,N/A,83,121.07,122.38,-1.07,2025-11-13,119.89,122.25,117.52,2.93,128.17,5.86,131.71,8.79,120.13,0.78,113.26,102.51,123.52,True,0.87,True,True,True,BULLISH,70,Grade A (good quality),Price stable (-1.1%),At VWAP (perfect entry)
JINDALSTEL.NS,A,N/A,78,1087.8,1069.9,1.67,2025-11-13,1073.99,1101.61,1027.76,5.52,1207.88,11.04,1267.92,16.56,1055.39,3.07,1006.73,974.24,1082.53,False,1.52,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.7%),Above Value Area (showing strength)
BEL.NS,A,N/A,75,419.8,414.25,1.34,2025-11-13,415.44,424.16,406.73,3.11,445.94,6.23,459.01,9.34,418.13,0.4,412.15,370.97,428.21,True,0.66,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.3%),At VWAP (perfect entry)
LODHA.NS,A,N/A,75,1217.6,1226.6,-0.73,2025-11-13,1204.72,1230.47,1176.79,3.35,1299.21,6.7,1340.02,10.05,1202.54,1.25,1199.8,1112.27,1237.95,True,0.66,True,True,True,BULLISH,70,Grade A (good quality),Price stable (-0.7%),In Value Area (fair price)
SBIN.NS,A,N/A,73,954.0,955.85,-0.19,2025-11-13,946.91,961.09,932.73,2.23,996.55,4.46,1017.82,6.69,935.33,2.0,959.3,805.42,961.03,True,0.98,True,True,True,BULLISH,70,Grade A (good quality),Price stable (-0.2%),In Value Area (fair price)
AXISBANK.NS,A,N/A,68,1225.2,1222.8,0.2,2025-11-13,1217.78,1232.62,1202.94,1.82,1269.73,3.63,1291.99,5.45,1229.71,-0.37,1133.6,1047.17,1262.08,True,0.72,False,True,True,BULLISH,70,Grade A (good quality),Price stable (+0.2%),At VWAP (perfect entry)
M&M.NS,A,N/A,68,3699.5,3690.2,0.25,2025-11-13,3664.59,3734.41,3547.25,4.12,4003.99,8.23,4156.24,12.35,3617.08,2.28,3584.98,3305.8,3757.24,True,0.74,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+0.3%),In Value Area (fair price)
CDSL.NS,A,N/A,66,1626.3,1578.8,3.01,2025-11-13,1605.69,1646.91,1561.81,3.97,1755.28,7.93,1819.78,11.9,1603.03,1.45,1589.36,1474.68,1660.12,True,0.85,True,True,True,BULLISH,70,Grade A (good quality),Moderate gain (+3.0%),In Value Area (fair price)
GRASIM.NS,A,N/A,65,2777.8,2724.6,1.95,2025-11-13,2748.41,2807.19,2689.63,3.17,2954.14,6.35,3042.3,9.52,2829.21,-1.82,2811.64,2699.87,2935.51,True,1.07,False,False,True,BULLISH,70,Grade A (good quality),Price stable (+2.0%),Near VWAP (good entry)
BHARTIARTL.NS,A,N/A,63,2091.8,2001.2,4.53,2025-11-13,2071.34,2112.26,2002.05,4.29,2271.3,8.58,2361.05,12.87,2042.96,2.39,2000.48,1876.85,2118.35,True,0.28,True,True,True,BULLISH,70,Grade A (good quality),Moderate gain (+4.5%),In Value Area (fair price)
LICHSGFIN.NS,A,N/A,63,567.9,571.2,-0.58,2025-11-13,563.53,572.28,554.78,2.31,594.15,4.62,607.28,6.93,575.64,-1.34,570.96,547.04,593.86,True,1.41,False,False,True,BULLISH,70,Grade A (good quality),Price stable (-0.6%),Near VWAP (good entry)
RELIANCE.NS,A,N/A,61,1510.9,1478.0,2.23,2025-11-13,1500.73,1521.07,1450.15,4.02,1632.39,8.04,1693.14,12.06,1470.49,2.75,1375.58,1355.33,1513.65,True,0.86,True,True,True,BULLISH,70,Grade A (good quality),Moderate gain (+2.2%),In Value Area (fair price)
ADANIPORTS.NS,A,N/A,61,1499.0,1448.3,3.5,2025-11-13,1485.43,1512.57,1434.11,4.33,1628.78,8.66,1693.67,12.99,1461.26,2.58,1428.08,1311.48,1510.76,True,0.92,True,True,True,BULLISH,70,Grade A (good quality),Moderate gain (+3.5%),In Value Area (fair price)
HINDPETRO.NS,A,N/A,60,486.05,479.55,1.36,2025-11-13,480.21,491.89,452.5,6.9,553.15,13.81,586.7,20.71,464.17,4.71,436.51,378.58,489.52,True,0.69,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.4%),In Value Area (fair price)
FEDERALBNK.NS,A,N/A,60,235.79,237.26,-0.62,2025-11-13,233.87,237.71,226.3,4.02,254.76,8.05,264.25,12.07,230.14,2.45,227.03,191.49,238.88,True,0.55,True,True,True,BULLISH,70,Grade A (good quality),Price stable (-0.6%),In Value Area (fair price)
