Symbol,Accumulation_Score,Breakout_Score,Total_Score,Current_Price,Stop_Price,Risk_Reward,Price_Change_30d,Volume_Ratio,OBV_Trend,MFI,ATR,ATR_Ratio,RS_Score,Base_Quality,Distance_to_Resistance,Signals,Stage
CAMS.NS,20,8,28,787.5999755859375,748.60204932023,2.687290854502202,3.712567862251084,1.120103870139903,31.06853623016538,59.55015212108743,19.49896313285376,1.183267386867342,97.26277228948204,5,4.913047355179402,"['OBV rising (31.07%) in consolidation', 'A/D accumulation (42.05%)', 'MFI optimal range (59.55)', 'Healthy base (9.28% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 3x', 'Institutional blocks detected (3)', 'Recent false breakout (penalty)', 'Volume climax + recovery (spring)', 'Near resistance (2.08% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
CAMS.NS,20,8,28,789.6199951171875,755.6324624987301,3.0240133116142,2.6454514302099486,1.0600580335386367,41.176051766087376,59.99175190505886,16.99376630922872,1.0336583439979583,88.66066866393753,5,4.644656982530637,"['OBV rising (41.18%) in consolidation', 'A/D accumulation (55.43%)', 'MFI optimal range (59.99)', 'Healthy base (10.33% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 4x', 'Institutional blocks detected (4)', 'Recent false breakout (penalty)', 'Volume climax + recovery (spring)', 'Near resistance (2.96% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
MARICO.NS,14,11,25,738.7000122070312,717.4071480887277,3.805030048697075,3.903228008092234,0.8382817324473124,13.719764464190657,45.1598357841827,10.646432059151786,0.8290615359244752,100.0,7,2.748069237513345,"['OBV rising (13.72%) in consolidation', 'A/D accumulation (18.19%)', 'Healthy base (6.25% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Resistance tested 4x', 'Recent false breakout (penalty)', 'Volume expanding (1.67x)', 'Near resistance (0.45% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
DRREDDY.NS,14,11,25,1275.199951171875,1237.014195033482,4.130967080782785,-0.7085647675987783,1.0232017105019704,-146.54488778168457,50.43713143303846,19.092878069196427,0.8507778261528885,100.0,5,4.046431903391376,"['A/D accumulation (176.15%)', 'MFI optimal range (50.44)', 'Healthy base (9.39% range)', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Volume climax + recovery (spring)', 'Volume expanding (1.55x)', 'Near resistance (1.40% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
TATAPOWER.NS,17,8,25,404.8999938964844,392.37855747767856,3.3071290480157973,3.0017775654425813,1.0418065388754154,33.5641248898122,63.74312514042219,6.260718209402902,0.9660272559608452,100.0,5,2.062239128027837,"['OBV rising (33.56%) in consolidation', 'A/D accumulation (6.13%)', 'MFI optimal range (63.74)', 'Healthy base (8.08% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 3x', 'Near resistance (2.06% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
UBL.NS,15,9,24,1797.4000244140625,1736.9571533203125,5.039536057905925,-0.11114815898989767,0.8756964785733157,7.338776037872523,43.77481788712968,30.221435546875,0.880113693960978,100.0,5,8.284189517723116,"['OBV rising (7.34%) in consolidation', 'A/D accumulation (23.13%)', 'Healthy base (5.87% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 3x', 'Volume expanding (3.31x)', 'Near resistance (2.59% away)', 'Strong higher lows structure']",ACCUMULATION
RELIANCE.NS,15,8,23,1451.5999755859375,1407.0713936941963,3.3670969164427498,4.937462903704326,1.0284986898490507,177.9826234623755,55.584272172448955,22.264290945870535,1.0907744464445737,93.42870669438773,5,2.156244788822813,"['OBV rising (177.98%) in consolidation', 'MFI optimal range (55.58)', 'Healthy base (9.11% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 4x', 'Near resistance (2.16% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
ZFCVINDIA.NS,14,9,23,13204.0,12509.285714285714,2.6817931318116393,1.5536071373634825,1.1294219066622944,3.5467471602192395,50.10923902648573,347.35714285714283,1.0816401427951823,100.0,5,5.657376552559831,"['A/D accumulation (18.34%)', 'MFI optimal range (50.11)', 'Healthy base (8.83% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 4x', 'Institutional blocks detected (3)', 'Recent false breakout (penalty)', 'Volume expanding (2.83x)', 'Near resistance (1.86% away)', 'Strong higher lows structure']",ACCUMULATION
BIOCON.NS,12,11,23,372.1000061035156,356.67857142857144,2.9597752527558443,1.004346435486344,1.1517910731160153,48.65190114621874,66.57833274156486,7.710717337472098,0.8617562094567003,100.0,5,3.950545941502536,"['OBV rising (48.65%) in consolidation', 'MFI optimal range (66.58)', 'Healthy base (11.75% range)', 'Extremely tight base (VCP)', 'Resistance tested 4x', 'Volume expanding (1.98x)', 'Near resistance (2.22% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
ADANIPORTS.NS,11,11,22,1479.4000244140625,1427.7428501674108,2.5231727729355193,11.923132831297874,1.055491276534394,60.29267690700494,62.817770099436096,25.828587123325892,0.9429602742904583,100.0,4,0.7503025147193575,"['MFI optimal range (62.82)', 'Healthy base (13.44% range)', 'Pocket pivot detected', 'Tight consolidation', 'Resistance tested 3x', 'Recent false breakout (penalty)', 'Volume climax + recovery (spring)', 'Volume expanding (1.69x)', 'Near resistance (0.75% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
BHARTIARTL.NS,14,8,22,2162.699951171875,2089.6570870535716,2.543164908310001,11.48512417927868,1.1814022790976346,18.258344582004757,54.68170146512844,36.521432059151785,1.1484983661100343,100.0,4,0.5456165485060032,"['MFI optimal range (54.68)', 'Healthy base (12.33% range)', 'Strong absorption on dips', 'Pocket pivot detected', 'Tight consolidation', 'Resistance tested 5x', 'Recent false breakout (penalty)', 'Volume climax + recovery (spring)', 'Near resistance (0.55% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
TECHM.NS,12,9,21,1461.5,1412.8285435267858,4.380738100877589,1.345227785364552,0.9731188967971509,100.99580260498489,53.30519787296711,24.335728236607142,0.8690942239014533,100.0,5,6.100841588260065,"['OBV rising (101.00%) in consolidation', 'MFI optimal range (53.31)', 'Healthy base (7.20% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 3x', 'Recent false breakout (penalty)', 'Volume expanding (2.30x)', 'Near resistance (0.96% away)', 'Strong higher lows structure']",ACCUMULATION
BAJAJ-AUTO.NS,13,8,21,9150.5,8831.0,3.4388106416275455,0.7265121910947218,0.9086933969337084,7.060204127825386,43.14593843727496,159.75,0.9193457223601953,89.40982570475293,6,3.71017977159718,"['OBV rising (7.06%) in consolidation', 'A/D accumulation (22.63%)', 'Healthy base (10.99% range)', 'Pocket pivot detected', 'Tight consolidation', 'Volume coiling (dry up)', 'Resistance tested 4x', 'Recent false breakout (penalty)', 'Near resistance (0.81% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
KPITTECH.NS,13,8,21,1267.0,1207.9857177734375,2.8338902667314794,4.971002485501243,0.8436411888626452,22.71405509997316,59.193813567335006,29.50714111328125,0.9538393340428384,100.0,4,4.814522494080506,"['OBV rising (22.71%) in consolidation', 'A/D accumulation (21.66%)', 'MFI optimal range (59.19)', 'Healthy base (11.92% range)', 'Pocket pivot detected', 'Tight consolidation', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Near resistance (1.41% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
VBL.NS,13,8,21,479.95001220703125,457.50001307896207,2.7566148498948757,1.095315894056082,0.8292640920581884,7.5944709323990045,52.279230759229435,11.224999564034599,1.1096136350676529,88.14914566536865,4,4.5317219391210095,"['OBV rising (7.59%) in consolidation', 'A/D accumulation (46.67%)', 'MFI optimal range (52.28)', 'Healthy base (10.06% range)', 'Pocket pivot detected', 'Tight consolidation', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Near resistance (2.07% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
PATANJALI.NS,12,9,21,600.6080932617188,578.2319737398785,3.006067647288609,-0.5940498641855695,0.8706060068715048,17.062399629979616,62.061903230040535,11.188059760920087,0.9158401118164545,100.0,5,2.9623497759572777,"['OBV rising (17.06%) in consolidation', 'MFI optimal range (62.06)', 'Healthy base (7.77% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Volume expanding (1.74x)', 'Near resistance (1.93% away)', 'Strong higher lows structure']",ACCUMULATION
HINDZINC.NS,12,9,21,498.1000061035156,475.37857927594865,3.070404919652708,3.275973193125844,0.6972859397535355,27.863144854315664,53.33773161736913,11.360713413783483,0.9330405962038255,100.0,6,5.561128558528162,"['OBV rising (27.86%) in consolidation', 'MFI optimal range (53.34)', 'Healthy base (11.63% range)', 'Tight consolidation', 'Volume coiling (dry up)', 'Resistance tested 3x', 'Institutional blocks detected (2)', 'Recent false breakout (penalty)', 'Volume expanding (1.55x)', 'Near resistance (2.31% away)', 'Strong higher lows structure']",ACCUMULATION
ABBOTINDIA.NS,13,8,21,28785.0,27759.285714285714,7.799247910863508,-4.669647292598112,0.9451249690670627,12.295744057057039,44.16908644202183,512.8571428571429,0.7550899564270057,100.0,5,18.325516762202536,"['OBV rising (12.30%) in consolidation', 'Healthy base (6.09% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 5x', 'Volume expanding (3.82x)', 'Volatility contraction (VCP)', 'Strong higher lows structure']",ACCUMULATION
ICICIPRULI.NS,12,8,20,629.4500122070312,609.3642926897321,3.1764863641158505,4.716359636091955,1.0057963859398504,-23.727723153373546,56.30982036596897,10.042859758649554,0.86778957881452,100.0,5,1.9779191302861296,"['MFI optimal range (56.31)', 'Healthy base (9.42% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 4x', 'Near resistance (0.93% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
GRASIM.NS,12,8,20,2891.699951171875,2788.0999930245534,3.1305427855608197,0.44809997655103456,0.9632764280620257,4.591729617485445,57.3886410423922,51.799979073660715,1.0306232484523417,100.0,5,2.977490718611989,"['MFI optimal range (57.39)', 'Healthy base (9.63% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 5x', 'Near resistance (2.98% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
IRB.NS,12,8,20,44.719608306884766,43.00944164968521,3.1846375035034153,1.5876579809034241,0.8591013647656479,50.17093788306002,57.04331982532373,0.8550833285997795,0.8530497773898293,100.0,5,3.869154112906434,"['OBV rising (50.17%) in consolidation', 'MFI optimal range (57.04)', 'Healthy base (11.32% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Near resistance (1.59% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
LODHA.NS,11,9,20,1197.9000244140625,1146.885707310268,4.532008311938468,-0.5644498243066959,1.1014580390363442,43.415927333264534,67.78519550531867,25.507158551897323,0.8126368410398831,100.0,4,10.46316427438562,"['OBV rising (43.42%) in consolidation', 'MFI optimal range (67.79)', 'Healthy base (10.81% range)', 'Spring/shakeout recovered', 'Tight consolidation', 'Resistance tested 3x', 'Recent false breakout (penalty)', 'Volume expanding (1.84x)', 'Near resistance (1.34% away)', 'Strong higher lows structure']",ACCUMULATION
INDIGO.NS,12,8,20,5908.5,5686.928571428572,3.4249903288201184,4.445819338872194,0.7320105073078778,22.34510805716586,59.279268505172624,110.78571428571429,1.0154891943662272,100.0,5,4.485063891004485,"['OBV rising (22.35%) in consolidation', 'MFI optimal range (59.28)', 'Healthy base (7.23% range)', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Near resistance (0.70% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
M&M.NS,11,8,19,3647.199951171875,3513.9429059709823,2.8103887565412675,2.4120377717686567,0.8776324232931066,40.993523961773995,46.73269444552148,66.62852260044643,0.8587168404203636,100.0,6,2.1002439866681226,"['OBV rising (40.99%) in consolidation', 'Healthy base (9.33% range)', 'Pocket pivot detected', 'Tight consolidation', 'Volume coiling (dry up)', 'Resistance tested 5x', 'Recent false breakout (penalty)', 'Near resistance (0.88% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
TATASTEEL.NS,11,8,19,182.83999633789062,175.82428196498327,2.7160749833849827,6.283786336859923,1.0488408793579969,23.337036836807936,66.84721259761179,3.507857186453683,1.0453496240420586,100.0,4,2.242401107872898,"['MFI optimal range (66.85)', 'Healthy base (12.10% range)', 'Pocket pivot detected', 'Tight consolidation', 'Resistance tested 3x', 'Institutional blocks detected (4)', 'Recent false breakout (penalty)', 'Near resistance (2.24% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
JINDALSTEL.NS,11,8,19,1066.800048828125,1019.82861328125,2.5274062215754065,1.8279028270698383,0.9820240705880655,-82.10789593622602,58.29568724117243,23.4857177734375,0.9948296170835937,100.0,5,2.8965036491790004,"['A/D accumulation (22.11%)', 'MFI optimal range (58.30)', 'Healthy base (10.64% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 4x', 'Recent false breakout (penalty)', 'Near resistance (2.90% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
FEDERALBNK.NS,11,8,19,212.3800048828125,204.32000732421875,2.7511654992238093,11.473861075023793,1.0441756916968616,127.15166827074565,56.43950723564335,4.029998779296875,1.1655073177200694,100.0,4,2.260094021382709,"['MFI optimal range (56.44)', 'Healthy base (14.76% range)', 'Pocket pivot detected', 'Tight consolidation', 'Resistance tested 5x', 'Near resistance (2.26% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
INDUSINDBK.NS,11,8,19,794.7999877929688,758.2856881277902,3.33557062595875,8.06988572994004,1.3123217891247208,400.21055508464593,67.49222824078207,18.257149832589285,1.0379556957519478,100.0,5,6.781583447646265,"['MFI optimal range (67.49)', 'Healthy base (13.52% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 4x', 'Institutional blocks detected (2)', 'Recent false breakout (penalty)', 'Near resistance (1.92% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
WIPRO.NS,11,8,19,259.9100036621094,251.77571541922433,2.7141898922746965,6.559796547813979,0.88997539047794,46.90713974950732,55.02377975014177,4.067144121442523,0.9681479826290595,100.0,7,0.45785172738225505,"['MFI optimal range (55.02)', 'Healthy base (10.29% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Resistance tested 3x', 'Recent false breakout (penalty)', 'Near resistance (0.46% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
TECHM.NS,11,8,19,1517.300048828125,1459.1000279017858,2.704755985715609,5.912332450483599,0.9807684381867442,228.3767053071524,62.11088135641887,29.100010463169642,1.049282895833733,100.0,5,2.19888946883407,"['MFI optimal range (62.11)', 'Healthy base (10.36% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 5x', 'Institutional blocks detected (2)', 'Recent false breakout (penalty)', 'Near resistance (0.97% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
